iteration,clock time,real time,total difference,relative difference
0,1734910663,1734910663,0,NaN
1,1734925065,1734925066,-1,-1
2,1734939467,1734939074,393,394
3,1734953869,1734953310,559,166
4,1734968271,1734967559,712,153
5,1734982673,1734981962,711,-1
6,1734997075,1734996364,711,0
7,1735011477,1735010767,710,-1
8,1735025879,1735025170,709,-1
9,1735040281,1735039573,708,-1
10,1735054683,1735053976,707,-1
11,1735069085,1735068379,706,-1
12,1735083487,1735081721,1766,1060
13,1735097889,1735095995,1894,128
14,1735112291,1735110398,1893,-1
15,1735126693,1735124801,1892,-1
16,1735141095,1735139204,1891,-1
17,1735155497,1735153607,1890,-1
18,1735169899,1735168010,1889,-1
19,1735184301,1735181601,2700,811
20,1735198703,1735195871,2832,132
21,1735213105,1735210274,2831,-1
22,1735227507,1735224676,2831,0
23,1735241909,1735238715,3194,363
24,1735256311,1735253118,3193,-1
25,1735270713,1735267275,3438,245
26,1735285115,1735281548,3567,129
27,1735299517,1735295809,3708,141
28,1735313919,1735310072,3847,139
29,1735328321,1735324475,3846,-1
30,1735342723,1735338877,3846,0
31,1735357125,1735352874,4251,405
32,1735371527,1735367165,4362,111
33,1735385929,1735381430,4499,137
34,1735400331,1735395833,4498,-1
35,1735414733,1735409977,4756,258
36,1735429135,1735424258,4877,121
37,1735443537,1735438661,4876,-1
38,1735457939,1735452810,5129,253
39,1735472341,1735467074,5267,138
40,1735486743,1735481477,5266,-1
41,1735501145,1735495879,5266,0
42,1735515547,1735510282,5265,-1
43,1735529949,1735524170,5779,514
44,1735544351,1735538448,5903,124
45,1735558753,1735552851,5902,-1
46,1735573155,1735566965,6190,288
47,1735587557,1735581368,6189,-1
48,1735601959,1735595771,6188,-1
49,1735616361,1735610174,6187,-1
50,1735630763,1735624577,6186,-1
51,1735645165,1735638980,6185,-1
52,1735659567,1735652606,6961,776
53,1735673969,1735667009,6960,-1
54,1735688371,1735681412,6959,-1
55,1735702773,1735695815,6958,-1
56,1735717175,1735710218,6957,-1
57,1735731578,1735724621,6957,0
58,1735745980,1735738221,7759,802
59,1735760382,1735752623,7759,0
60,1735774784,1735766710,8074,315
61,1735789186,1735781113,8073,-1
62,1735803588,1735795262,8326,253
63,1735817990,1735809526,8464,138
64,1735832392,1735823929,8463,-1
65,1735846794,1735838332,8462,-1
66,1735861196,1735852344,8852,390
67,1735875598,1735866609,8989,137
68,1735890000,1735880872,9128,139
69,1735904402,1735895275,9127,-1
70,1735918804,1735909678,9126,-1
71,1735933206,1735924081,9125,-1
72,1735947608,1735938484,9124,-1
73,1735962010,1735952270,9740,616
74,1735976412,1735966673,9739,-1
75,1735990814,1735980811,10003,264
76,1736005216,1735995214,10002,-1
77,1736019618,1736009617,10001,-1
78,1736034020,1736024020,10000,-1
79,1736048422,1736038422,10000,0
80,1736062824,1736052825,9999,-1
81,1736077226,1736067228,9998,-1
82,1736091628,1736081631,9997,-1
83,1736106030,1736096034,9996,-1
84,1736120432,1736109249,11183,1187
85,1736134834,1736123530,11304,121
86,1736149236,1736137933,11303,-1
87,1736163638,1736152084,11554,251
88,1736178040,1736166487,11553,-1
89,1736192442,1736180580,11862,309
90,1736206844,1736194983,11861,-1
91,1736221246,1736209386,11860,-1
92,1736235648,1736223789,11859,-1
93,1736250050,1736237656,12394,535